record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
3cee3677efc4b7dc-sheet1-R3,2026-04-01,busan-city,행정자치국 > 총무과,정초밥 등,제6회 조례규칙심의회 준비 노고 격려 간담회 개최,325000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R3,,,
3cee3677efc4b7dc-sheet1-R4,2026-04-01,busan-city,행정자치국 > 총무과,동래통닭,아이 키우기 좋은 도시 홍보 추진 관련 간담회 개최,172400,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R4,,,
3cee3677efc4b7dc-sheet1-R5,2026-04-02,busan-city,행정자치국 > 총무과,메이리 등,유네스코 세계유산위원회 추진 관련 간담회 개최,467000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R5,,,
3cee3677efc4b7dc-sheet1-R6,2026-04-02,busan-city,행정자치국 > 총무과,해물기와,국회 관계자와의 국비 현안사항 협의 간담회 개최,180000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R6,,,
3cee3677efc4b7dc-sheet1-R7,2026-04-03,busan-city,행정자치국 > 총무과,개인(성명 비공개),소속직원 경조사비 집행,250000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R7,,,
3cee3677efc4b7dc-sheet1-R8,2026-04-03,busan-city,행정자치국 > 총무과,영남식육식당,"수산업, 어촌 발전 회의 추진 격려 간담회 개최",457000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R8,,,
3cee3677efc4b7dc-sheet1-R9,2026-04-06,busan-city,행정자치국 > 총무과,제일옥,시정 주요현안 논의를 위한 간부공무원 오찬 간담회 개최(월요오찬),438000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R9,,,
3cee3677efc4b7dc-sheet1-R10,2026-04-06,busan-city,행정자치국 > 총무과,웁스,여름철 자연재난 대비 회의 추진 격려 차담회 개최,62500,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R10,,,
3cee3677efc4b7dc-sheet1-R11,2026-04-07,busan-city,행정자치국 > 총무과,아크여의도점,26년 정부추경 현안사항 협의를 위한 국회 관계자 간담회 개최,480000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R11,,,
3cee3677efc4b7dc-sheet1-R12,2026-04-07,busan-city,행정자치국 > 총무과,부자회관,제54회 보건의 날 기념식 준비 노고 격려 간담회 개최,480000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R12,,,
3cee3677efc4b7dc-sheet1-R13,2026-04-07,busan-city,행정자치국 > 총무과,언양불고기부산집,외국인 관광객 수용태세 구축 간담회 개최,480000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R13,,,
3cee3677efc4b7dc-sheet1-R14,2026-04-07,busan-city,행정자치국 > 총무과,아크여의도점,국비확보 전략 논의를 위한 국회 관계자 간담회 개최,202000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R14,,,
3cee3677efc4b7dc-sheet1-R15,2026-04-09,busan-city,행정자치국 > 총무과,은화횟집 등,부산광역시 기능경기대회 준비 격려 간담회 개최,390000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R15,,,
3cee3677efc4b7dc-sheet1-R16,2026-04-10,busan-city,행정자치국 > 총무과,미락 등,크루즈 관광 프로그램 개발 논의 관련 간담회 개최,437000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R16,,,
3cee3677efc4b7dc-sheet1-R17,2026-04-10,busan-city,행정자치국 > 총무과,칠보락,현안업무 추진 부서 노고 격려 간담회 개최,480000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R17,,,
3cee3677efc4b7dc-sheet1-R18,2026-04-13,busan-city,행정자치국 > 총무과,버섯마을,시정 주요현안 논의를 위한 간부공무원 오찬 간담회 개최(월요오찬),512000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R18,,,
3cee3677efc4b7dc-sheet1-R19,2026-04-13,busan-city,행정자치국 > 총무과,카리스,글로벌 디자인페어 업무협약 준비 격려 차담회 개최,54000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R19,,,
3cee3677efc4b7dc-sheet1-R20,2026-04-14,busan-city,행정자치국 > 총무과,풍미,대한민국 과학축제 준비 노고 격려 간담회 개최,360000,3cee3677efc4b7dc2956b03da74b47784d4a8f212ef5d627a5068716474064b4,sheet1:R20,,,
