record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats,expense_id,expense_amount_krw
140d91aabbb3d41f-sheet1-R7,2026-06-30,daegu-city,상수도사업본부 가창정수사업소,큰나무집궁중약백숙,퇴직자 격려 간담회 경비 지출,155000,140d91aabbb3d41ffb3171a60b31b0f9c83a2efdeb3222da2be5a5ab553ffa30,sheet1:R7,,,
140d91aabbb3d41f-sheet1-R8,2026-05-11,daegu-city,상수도사업본부 가창정수사업소,개인(성명 비공개),직원 경조사비 지출,50000,140d91aabbb3d41ffb3171a60b31b0f9c83a2efdeb3222da2be5a5ab553ffa30,sheet1:R8,,,
140d91aabbb3d41f-sheet1-R9,2026-04-23,daegu-city,상수도사업본부 가창정수사업소,오마모리,업무협의를 위한 간담회 경비 지출,59400,140d91aabbb3d41ffb3171a60b31b0f9c83a2efdeb3222da2be5a5ab553ffa30,sheet1:R9,,,
140d91aabbb3d41f-sheet1-R10,2026-04-20,daegu-city,상수도사업본부 가창정수사업소,나이스할인마트,내방객 제공을 위한 다과 구입,15800,140d91aabbb3d41ffb3171a60b31b0f9c83a2efdeb3222da2be5a5ab553ffa30,sheet1:R10,,,
079641a67ef9e3da-sheet1-R7,2026-03-30,daegu-city,상수도사업본부 가창정수사업소,다라이 수성점,업무협의를 위한 간담회 경비 지출,103980,079641a67ef9e3da63da26bf743bfbd7b70006cab86cbd56137421b28460decd,sheet1:R7,,,
079641a67ef9e3da-sheet1-R8,2026-03-13,daegu-city,상수도사업본부 가창정수사업소,나이스할인마트,내방객 제공을 위한 다과 구입,82360,079641a67ef9e3da63da26bf743bfbd7b70006cab86cbd56137421b28460decd,sheet1:R8,,,
079641a67ef9e3da-sheet1-R9,2026-02-25,daegu-city,상수도사업본부 가창정수사업소,강원도집,업무협조를 위한 간담회 경비 지출,90000,079641a67ef9e3da63da26bf743bfbd7b70006cab86cbd56137421b28460decd,sheet1:R9,,,
079641a67ef9e3da-sheet1-R10,2026-02-13,daegu-city,상수도사업본부 가창정수사업소,복돼지식당,업무협조를 위한 간담회 경비 지출,105500,079641a67ef9e3da63da26bf743bfbd7b70006cab86cbd56137421b28460decd,sheet1:R10,,,
079641a67ef9e3da-sheet1-R11,2026-01-14,daegu-city,상수도사업본부 가창정수사업소,삼산회관,업무협의 간담회 경비 지출,98500,079641a67ef9e3da63da26bf743bfbd7b70006cab86cbd56137421b28460decd,sheet1:R11,,,
af60ea2a18c5ace8-sheet1-R7,2026-04-03,daegu-city,상수도사업본부 죽곡정수사업소,개인(성명 비공개),직원 경조사비 지출,50000,af60ea2a18c5ace8f4b6c0a89c68685ba4cdc3d0f72ef775267712ad3a32dbd9,sheet1:R7,,,
af60ea2a18c5ace8-sheet1-R8,2026-04-15,daegu-city,상수도사업본부 죽곡정수사업소,경산식당,공정안전보고서(PSM) 컨설팅 회의 참석자 간담회 경비 지출,260000,af60ea2a18c5ace8f4b6c0a89c68685ba4cdc3d0f72ef775267712ad3a32dbd9,sheet1:R8,,,
af60ea2a18c5ace8-sheet1-R9,2026-04-28,daegu-city,상수도사업본부 죽곡정수사업소,개인(성명 비공개),직원 경조사비 지출,50000,af60ea2a18c5ace8f4b6c0a89c68685ba4cdc3d0f72ef775267712ad3a32dbd9,sheet1:R9,,,
af60ea2a18c5ace8-sheet1-R10,2026-06-09,daegu-city,상수도사업본부 죽곡정수사업소,대광식당,"직원(공무직, 기간제) 격려를 위한 간담회 경비 지출",84000,af60ea2a18c5ace8f4b6c0a89c68685ba4cdc3d0f72ef775267712ad3a32dbd9,sheet1:R10,,,
af60ea2a18c5ace8-sheet1-R11,2026-06-16,daegu-city,상수도사업본부 죽곡정수사업소,대광식당,간담회 경비 지출,106000,af60ea2a18c5ace8f4b6c0a89c68685ba4cdc3d0f72ef775267712ad3a32dbd9,sheet1:R11,,,
af60ea2a18c5ace8-sheet1-R12,2026-06-17,daegu-city,상수도사업본부 죽곡정수사업소,경산식당 외 1,간담회 경비 지출,177420,af60ea2a18c5ace8f4b6c0a89c68685ba4cdc3d0f72ef775267712ad3a32dbd9,sheet1:R12,,,
1dabc5047a88cb23-sheet1-R7,2026-02-09,daegu-city,상수도사업본부 죽곡정수사업소,필마트 대구다사점,직원 격려 물품 구입,76500,1dabc5047a88cb234c2f37d3b7ed88444b56020412485058d1fd1569118c9bb0,sheet1:R7,,,
1dabc5047a88cb23-sheet1-R8,2026-02-10,daegu-city,상수도사업본부 죽곡정수사업소,네이버,설 맞이 직원 격려 물품 구입,39000,1dabc5047a88cb234c2f37d3b7ed88444b56020412485058d1fd1569118c9bb0,sheet1:R8,,,
1dabc5047a88cb23-sheet1-R9,2026-02-11,daegu-city,상수도사업본부 죽곡정수사업소,밸먼트,설 명절 연휴 근무자 간식 구입-음료,44500,1dabc5047a88cb234c2f37d3b7ed88444b56020412485058d1fd1569118c9bb0,sheet1:R9,,,
1dabc5047a88cb23-sheet1-R10,2026-02-11,daegu-city,상수도사업본부 죽곡정수사업소,쿠팡,설 명절 연휴 근무자 간식 구입-컵라면,47400,1dabc5047a88cb234c2f37d3b7ed88444b56020412485058d1fd1569118c9bb0,sheet1:R10,,,
1dabc5047a88cb23-sheet1-R11,2026-02-11,daegu-city,상수도사업본부 죽곡정수사업소,네네린도,설 명절 연휴 근무자 간식 구입-컵밥,143350,1dabc5047a88cb234c2f37d3b7ed88444b56020412485058d1fd1569118c9bb0,sheet1:R11,,,
1dabc5047a88cb23-sheet1-R12,2026-03-05,daegu-city,상수도사업본부 죽곡정수사업소,개인(성명 비공개),직원 경조사비 지출,50000,1dabc5047a88cb234c2f37d3b7ed88444b56020412485058d1fd1569118c9bb0,sheet1:R12,,,
1dabc5047a88cb23-sheet1-R13,2026-03-18,daegu-city,상수도사업본부 죽곡정수사업소,개인(성명 비공개),직원 경조사비 지출,50000,1dabc5047a88cb234c2f37d3b7ed88444b56020412485058d1fd1569118c9bb0,sheet1:R13,,,
fe50f568cab2c92c-sheet1-R7,2026-04-02,daegu-city,성평등정책과,호작질 미니점,한부모가족복지시설 간담회 간식 구입비 지출,90000,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R7,,,
fe50f568cab2c92c-sheet1-R8,2026-04-14,daegu-city,성평등정책과,바르미스시샤브 동성로점,부서 직원 격려 급식비 지출,290800,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R8,,,
fe50f568cab2c92c-sheet1-R9,2026-04-28,daegu-city,성평등정책과,몬스터커피,가족센터로 찾아가는 소규모 타운홀 미팅 간담회 경비 지출,30300,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R9,,,
fe50f568cab2c92c-sheet1-R10,2026-04-29,daegu-city,성평등정책과,유아이유(UIU),가족센터로 찾아가는 소규모 타운홀 미팅 간담회 경비 지출,36000,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R10,,,
fe50f568cab2c92c-sheet1-R11,2026-05-06,daegu-city,성평등정책과,카페(CAFE) 발리하이,가족센터로 찾아가는 소규모 타운홀 미팅 간담회 경비 지출,31500,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R11,,,
fe50f568cab2c92c-sheet1-R12,2026-05-06,daegu-city,성평등정책과,바스코,가족센터 운영관련 구군담당자 오찬간담회 경비 지출,218700,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R12,,,
fe50f568cab2c92c-sheet1-R13,2026-05-07,daegu-city,성평등정책과,봄봄(북부정류장점),가족센터로 찾아가는 소규모 타운홀 미팅 간담회 경비 지출,33700,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R13,,,
fe50f568cab2c92c-sheet1-R14,2026-05-11,daegu-city,성평등정책과,오케이마트,부서 직원 간식 구입비 지출,100000,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R14,,,
fe50f568cab2c92c-sheet1-R15,2026-05-13,daegu-city,성평등정책과,어레인지먼트 수성대점,가족센터로 찾아가는 소규모 타운홀 미팅 간담회 경비 지출,48700,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R15,,,
fe50f568cab2c92c-sheet1-R16,2026-05-13,daegu-city,성평등정책과,카페 비슬애(4호점),가족센터로 찾아가는 소규모 타운홀 미팅 간담회 경비 지출,33300,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R16,,,
fe50f568cab2c92c-sheet1-R17,2026-05-14,daegu-city,성평등정책과,피넛 하우스 커피,가족센터로 찾아가는 소규모 타운홀 미팅 간담회 경비 지출,37100,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R17,,,
fe50f568cab2c92c-sheet1-R18,2026-05-14,daegu-city,성평등정책과,오케이마트외 1,2026년 중간관리자 대상 성희롱·성폭력 예방교육을 위한 다과 구입,79500,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R18,,,
fe50f568cab2c92c-sheet1-R19,2026-05-19,daegu-city,성평등정책과,빽다방 대구군위점,가족센터로 찾아가는 소규모 타운홀 미팅 간담회 경비 지출,33900,fe50f568cab2c92c341fd8f07e61c1de5329afca24275997e01d11bb42298ddc,sheet1:R19,,,
