record_id,spent_on,organization,department,merchant,purpose,amount_krw,source_hash,source_location,repeats
cbd0a8094c95194b-sheet1-R4,2026-04-01,gwangju-city,신활력총괄관,카멜오르조,익사이팅벨트 등 현안업무 추진 직원 격려 간담회,297000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R4,
cbd0a8094c95194b-sheet1-R5,2026-04-03,gwangju-city,신활력총괄관,㈜에치와이,신활력추진본부 내방객 접대등을 위한 음료 구입,75600,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R5,
cbd0a8094c95194b-sheet1-R6,2026-04-03,gwangju-city,신활력총괄관,용전식육식당,우치공원 활성화 방안 관련 논의 간담회 비용 집행,62000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R6,
cbd0a8094c95194b-sheet1-R7,2026-04-07,gwangju-city,신활력총괄관,남해쭈꾸미마을,국내외 관광마케팅 관련 시책홍보 및 간담회비 집행,117000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R7,
cbd0a8094c95194b-sheet1-R8,2026-04-09,gwangju-city,신활력총괄관,복아귀명가,문화관광 콘텐츠 개발 및 협의를 위한 간담회비 집행,76000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R8,
cbd0a8094c95194b-sheet1-R9,2026-04-10,gwangju-city,신활력총괄관,미푸드시스템,5대 신활력벨트 추진 관련 홍보 협의를 위한 간담회,76000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R9,
cbd0a8094c95194b-sheet1-R10,2026-04-10,gwangju-city,신활력총괄관,나룻배상무점,민간공원 특례사업 관련 논의 간담회 비용 집행,80000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R10,
cbd0a8094c95194b-sheet1-R11,2026-04-15,gwangju-city,신활력총괄관,목사골,현안업무 추진 직원 격려 간담회 비용 집행,48000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R11,
cbd0a8094c95194b-sheet1-R12,2026-04-16,gwangju-city,신활력총괄관,카츠쿠,영산강 맑은물순환형 공급체계 관련 시책홍보 및 간담회,59500,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R12,
cbd0a8094c95194b-sheet1-R13,2026-04-17,gwangju-city,신활력총괄관,송경솥밥,재정공원 조성사업 관련 논의 간단회 비용 집행,115000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R13,
cbd0a8094c95194b-sheet1-R14,2026-04-17,gwangju-city,신활력총괄관,영미오리탕,복합쇼핑몰 상생발전협의회 관련 관계자 간담회비 집행,64000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R14,
cbd0a8094c95194b-sheet1-R15,2026-04-20,gwangju-city,신활력총괄관,울타리,특화관광 활성화 논의 간담회 비용 집행,76000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R15,
cbd0a8094c95194b-sheet1-R16,2026-04-23,gwangju-city,신활력총괄관,다원명가,신활력지원 등 현안업무 추진 직원 격려 간담회 비용 집행,70000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R16,
cbd0a8094c95194b-sheet1-R17,2026-04-24,gwangju-city,신활력총괄관,미래연,민간공원 조성사업 관련 논의 간담회 비용 집행,132000,cbd0a8094c95194b9443096d8c3c8d3c1d84a9f337c5ed944813aef66fafd590,sheet1:R17,
